feature_id,area,feature,user_story,expected_behavior,source_evidence,verification_status,last_tested,test_evidence,defect_id,notes
F018,Benchmark Playback,Transport controls,As a viewer I want standard replay controls.,"DirectorControls provides Restart, Previous beat, Play/Pause, Next beat, and Skip to end buttons that disable when no replay or at boundaries.",frontend/src/components/broadcast/DirectorControls.tsx; frontend/src/components/broadcast/EpisodePlayer.tsx,Fixed and browser passed,2026-06-23,"Browser compact 1280x720 controls: transport visible, Reset aria-label works, no console warnings/errors",D005,Fixed compact 1280x720 desktop layout where provider/roster/reset controls had zero layout size or clipped text.
F019,Benchmark Playback,Scrubber and phase markers,As a viewer I want to scrub directly and jump to major round sections.,DirectorControls renders a range input and phase marker buttons derived from first event scene/phase occurrences; scrub changes persist shared playback with playing false.,frontend/src/components/broadcast/DirectorControls.tsx; frontend/src/components/broadcast/EpisodePlayer.tsx,Browser passed,2026-06-23,Browser Build Round exposed scrubber and phase marker buttons after 40 replay beats,"",""
F020,Benchmark Playback,Shared viewer state,As a multi-visitor viewer I want replay cursor and play state to be shared through the backend.,"EpisodePlayer posts replay_index, is_playing, round, and phase to /api/viewer-state, polls it every 2 seconds, clamps to available events, and updates local state when another viewer changes it.",frontend/src/components/broadcast/EpisodePlayer.tsx; backend/viewer_state.py; backend/api.py,Browser passed,2026-06-23,Browser/IAB Play persisted /api/viewer-state is_playing=true; external POST replay_index=10 updated the open tab to Replay Beat 11/64 after polling; no logs,"",""
F021,Benchmark Playback,Audio timeline playback,As a viewer I want generated voice lines to play from local media in the right order.,"EpisodePlayer filters ready voice_timeline entries with audio_url, schedules Audio playback by start_ms, stops previous audio before starting the next line, and derives event duration from the voice timeline when present.",frontend/src/components/broadcast/EpisodePlayer.tsx; backend/voice_service.py,Browser passed,2026-06-23,"Fake tribal voice build produced 59 ready lines; with event 24 duration_ms temporarily set to 100 and voice line ending at 14000ms, Play stayed on Beat 24 after 2.2s; duration restored","",Local-only DB timing tweak used to prove voice timeline duration wins over event duration.
F022,Benchmark Playback,Reduced motion playback timing,"As a viewer with reduced-motion preferences I want faster, less animated replay timing.",EpisodePlayer uses useReducedMotion and shorter fade/timing; SceneStage switches animation to minimal opacity changes.,frontend/src/components/broadcast/EpisodePlayer.tsx; frontend/src/components/broadcast/SceneStage.tsx,Static/build passed,2026-06-23,"Source assertions verified useReducedMotion wiring, reduced playback delay, opacity-only SceneStage animation, and 0.05s reduced transition; npm build passed","",Current Browser surface did not expose prefers-reduced-motion emulation.
F023,Benchmark Preload,Background next-round preload from playback,As a viewer I want the next round prepared while I watch so later transitions are faster.,"Pressing Play calls /api/rounds/preload-next once per round if events exist, then polls /api/state while preload status is pending or running; preload status appears in the header and metrics panel.",frontend/src/components/broadcast/EpisodePlayer.tsx; backend/round_preloader.py; backend/api.py,Browser passed,2026-06-23,Browser/IAB Play from completed round queued next-round preload; /api/state.next_round_preload became R8 complete and header showed Next Round R8 complete; no logs,"",""
F024,Benchmark Status,Episode header status strip,As an operator I want top-level state visible without opening debug JSON.,"The Benchmark header shows LLM mode, Round, Game Turn, Replay Beat, Step, Active count, Runtime, and Next Round preload status.",frontend/src/components/broadcast/EpisodePlayer.tsx,Browser passed,2026-06-23,"Browser /benchmark header showed provider, round, turn, beat, step, active count, runtime, next-round status","",""
F025,Benchmark Metrics,Game metrics panel,As an analyst I want replay-aware game and strategy telemetry beside the stage.,"GameMetricsPanel shows replay timeline, current scene/beat, LLM call readiness, challenge result, path to finale, next-round prep, strategy quality, round stakes, jury/finale, dynamics, top-of-mind per agent, game state, agent status, private signal, and recent story events.",frontend/src/components/broadcast/GameMetricsPanel.tsx,Browser passed,2026-06-23,"Browser metrics panel showed game metrics, LLM calls, challenge, finale path, next-round prep, private/key notices","",""
F026,Benchmark Operator,Next Turn,As an operator I want to advance exactly one backend turn from the UI.,"Next Turn POSTs /api/turns/advance, refreshes episode/state/summary/rosters, and moves replay cursor to the first new event without autoplay.",frontend/src/components/broadcast/EpisodePlayer.tsx; backend/api.py; backend/turn_controller.py,Browser passed,2026-06-23,"Browser Build Round button produced 40 replay beats, Game Turn 35, no alert, no console warnings/errors","",""
F027,Benchmark Operator,Build Round,As an operator I want to build the current round's replay beats without clicking each turn.,"Build Round POSTs /api/turns/auto-run with max_turns 90, refreshes, and resets replay cursor to the first event.",frontend/src/components/broadcast/EpisodePlayer.tsx; backend/api.py; backend/turn_controller.py,API passed,2026-06-23,"curl exact UI /api/game/auto-run-to-end payload returned 200, phase completed, winner Command A","",""
F028,Benchmark Operator,Run To Finale,As an operator I want a one-click full-season local run to a winner.,"Run To Finale POSTs /api/game/auto-run-to-end with max_rounds 16, max_turns 1200, max_live_calls 1000, and max_estimated_cost_cents 500, then refreshes and resets replay to the first event.",frontend/src/components/broadcast/EpisodePlayer.tsx; backend/api.py; backend/turn_controller.py,Fixed and browser passed,2026-06-23,"Browser/IAB Run To Finale completed to Round 20 phase=completed with winner agent-marrow, 691 story events, and replay reset to 01/19; no logs",D002,Backend limit raised earlier so frontend 1200-turn payload is accepted.
F029,Benchmark Operator,Next Round,As an operator I want to start the next round after the current round completes.,"Next Round POSTs /api/rounds/next, refreshes, and clears preload request tracking. Backend resets turn/replay state for remaining active agents and moves finale when the active count reaches finalists.",frontend/src/components/broadcast/EpisodePlayer.tsx; backend/api.py; backend/turn_controller.py,Browser passed,2026-06-23,"Browser/IAB Next Round from completed Round 7 moved state to Round 8 camp_pre_challenge_read, cleared preload, and showed replay 00/00; no logs","",""
F030,Benchmark Operator,Roster reset,As an operator I want to choose a roster and reset the local benchmark to that cast.,"The roster select lists model rosters; Reset POSTs /api/dev/reset with null for default or the selected roster_preset, refreshes, resets shared playback to 0, and clears preload tracking.",frontend/src/components/broadcast/DirectorControls.tsx; frontend/src/components/broadcast/EpisodePlayer.tsx; backend/api.py; backend/model_rosters.py,Fixed and browser passed,2026-06-23,Browser provider/roster/reset row visible at 1280x720; Z.ai provider kept Z.ai GLM Smoke Roster selected after reload,D005;D006,Fixed compact controls visibility and provider-implied roster synchronization after refresh.
F031,Benchmark Operator,Provider selector,As an operator I want to switch live response providers from the Benchmark UI.,"The provider select currently offers OpenRouter and Local Ollama; changing to Ollama also selects the local_ollama roster and POSTs /api/llm/settings. Backend accepts openrouter, ollama, and zai.",frontend/src/components/broadcast/DirectorControls.tsx; frontend/src/components/broadcast/EpisodePlayer.tsx; backend/api.py; backend/llm_config.py,Fixed and browser passed,2026-06-23,Browser provider select includes Z.ai GLM; selecting it shows Z.ai GLM Needs Z.ai key and seeds 4 GLM agents,D001,Fixed backend-supported Z.ai provider missing from UI/provider status.
F032,Benchmark Errors,Visible error banner,As a user I want API or action failures to be visible.,EpisodePlayer catches refresh/action/polling/preload errors and renders an alert banner with the error text.,frontend/src/components/broadcast/EpisodePlayer.tsx,Browser passed,2026-06-23,Browser public/benchmark/arena tested with no app alert except intended state and no console warnings/errors,"",""
F033,Benchmark Types,Frontend LLM settings model,As a developer I want frontend types to match backend provider settings.,"ApiStateResponse includes LLMSettings; LLMSettings currently types provider as openrouter or ollama and exposes OpenRouter/Ollama fields, while backend also returns Z.ai fields in the dirty code.",frontend/src/types/index.ts; backend/llm_config.py,Fixed and build passed,2026-06-23,npm run build TypeScript passed with LLMProvider including zai and Z.ai fields,D001,Fixed frontend provider type drift for Z.ai.
F040,Backend State,Game state API,As a frontend client I want canonical game state in one read.,"GET /api/state returns game, agents, messages, votes, turn_count, story_event_count, llm settings, next_round_preload, viewer_state, and social summaries.",backend/api.py; backend/turn_controller.py,Backend unit passed,2026-06-23,python3 -m unittest discover -s backend/tests -v (61 tests OK),"",""
F041,Backend Summary,Game summary API,As an analyst I want aggregate season state without deriving it in the browser.,"GET /api/game/summary returns winner, active agents, eliminated jury, round history, challenge/immunity wins, votes, jury votes, social summary, and finale status.",backend/api.py; backend/turn_controller.py,Backend unit passed,2026-06-23,python3 -m unittest discover -s backend/tests -v (61 tests OK),"",""
F042,Backend Episode,Current episode API,As a replay client I want current episode events with optional voice timeline attached.,"GET /api/episode/current accepts round, phase, and include_audio; it returns title, runtime, events, agents, and game for the selected/current round.",backend/api.py; backend/turn_controller.py; backend/voice_service.py,Backend unit passed,2026-06-23,python3 -m unittest discover -s backend/tests -v (61 tests OK),"",""
F043,Backend Events,Story events API,As a replay client I want incremental event reads.,"GET /api/story-events accepts round, from_sequence, and phase and returns stable StoryEvents without mutating state.",backend/api.py; backend/turn_controller.py,Backend unit passed,2026-06-23,python3 -m unittest discover -s backend/tests -v (61 tests OK),"",""
F044,Backend Turns,Advance turn API,As the operator I want one API call to commit exactly one turn.,"POST /api/turns/advance calls turn_controller.advance_turn and returns the turn, inserted story events, and refreshed state; exceptions return HTTP 500.",backend/api.py; backend/turn_controller.py,Backend unit passed,2026-06-23,python3 -m unittest discover -s backend/tests -v (61 tests OK),"",""
F045,Backend Turns,Bounded auto-run API,As the operator I want a bounded auto-run of the current round.,POST /api/turns/auto-run accepts max_turns 1-100 and calls turn_controller.auto_run; backend stops when complete or max turns are consumed.,backend/api.py; backend/turn_controller.py,Backend unit passed,2026-06-23,python3 -m unittest discover -s backend/tests -v (61 tests OK),"",""
F046,Backend Turns,Auto-run-to-end API with guardrails,"As the operator I want full-season automation bounded by rounds, turns, live calls, and estimated cost.","POST /api/game/auto-run-to-end accepts max_rounds 1-20, max_turns 1-500 at the API schema level, max_live_calls, and max_estimated_cost_cents, then calls turn_controller.auto_run_to_end.",backend/api.py; backend/turn_controller.py,Fixed and API passed,2026-06-23,curl exact UI payload with max_turns 1200 returned 200 after AutoRunToEndRequest max increased,D002,Fixed UI Run To Finale payload rejected by API max_turns schema.
F047,Backend Rounds,Start next round API,As the operator I want round transitions to be explicit.,"POST /api/rounds/next starts a new round, resets turn index and viewer state, carries active agents forward, and returns round_started/state; errors return HTTP 400.",backend/api.py; backend/turn_controller.py,Backend unit passed,2026-06-23,python3 -m unittest discover -s backend/tests -v (61 tests OK),"",""
F048,Backend Reset,Dev reset API,As a local operator I want to reset the demo game and optionally seed a selected roster.,"POST /api/dev/reset accepts optional roster_preset, falls back to local_ollama for Ollama provider and zai_glm for Z.ai provider, seeds the database, and returns state.",backend/api.py; backend/database.py; backend/model_rosters.py,Fixed and API passed,2026-06-23,POST /api/llm/settings zai then /api/dev/reset seeded GLM Flash Alpha/Beta/Gamma/Delta,D003,Fixed missing zai_glm roster preset referenced by backend reset/provider switch.
F049,Backend LLM,LLM settings API,As an operator I want to inspect and change provider readiness.,"GET /api/llm/settings returns provider readiness/config values; POST /api/llm/settings accepts openrouter, ollama, or zai and updates LLM_PROVIDER, seeding provider-specific rosters for Ollama and Z.ai.",backend/api.py; backend/llm_config.py,Fixed and API passed,2026-06-23,POST /api/llm/settings accepts zai; browser displays Z.ai GLM provider state,D001;D003,Fixed Z.ai provider UI and reset preset path.
F050,Backend Rosters,Model rosters API,As an operator I want selectable model cast presets.,"GET /api/model-rosters returns default 16-model benchmark, Cheap Recent OpenRouter, All Free OpenRouter, and All Local Ollama Models.",backend/api.py; backend/model_rosters.py,Fixed and API passed,2026-06-23,"GET /api/model-rosters returns default, cheap_recent, all_free, local_ollama, and zai_glm",D003,Added Z.ai GLM Smoke Roster to canonical rosters API.
F051,Backend Rosters,Default frontier roster,As a benchmark operator I want the default reset to start with sixteen current model identities.,"Default DEMO_AGENTS contains 16 unique model ids and display names, from GPT-5.5 Pro through Reka Edge, with portrait seeds and model labels.",backend/fixtures.py; backend/model_rosters.py; backend/tests/test_openrouter_frontier_roster.py,Backend unit passed,2026-06-23,python3 -m unittest discover -s backend/tests -v (61 tests OK),"","Model availability is code-declared, not externally verified in this tracker."
F052,Backend Rosters,Cheap/free OpenRouter rosters,As a cost-conscious tester I want cheap and free OpenRouter model rosters.,Cheap Recent OpenRouter contains paid cheap/recent plus free test models; All Free OpenRouter filters to free_test models and resets agents to those display/model ids without leaking default-only model names.,backend/model_rosters.py; backend/tests/test_turn_controller.py,Backend unit passed,2026-06-23,python3 -m unittest discover -s backend/tests -v (61 tests OK),"",""
F053,Backend Rosters,Local Ollama roster,As a local tester I want a no-cloud roster using installed local models.,"Local Ollama roster contains SmolLM2 1.7B, Gemma 3 1B, Qwen 2.5 1.5B, and Llama 3.2 1B; state readiness checks local /api/tags for required models.",backend/model_rosters.py; backend/llm_config.py; backend/tests/test_turn_controller.py,Backend unit passed,2026-06-23,python3 -m unittest discover -s backend/tests -v (61 tests OK),"",README still mentions a different local roster; track docs sync later.
F054,Backend LLM,Live provider fallback semantics,As a benchmark consumer I want failed live calls not to be misrepresented as another model.,OpenRouter/Ollama/Z.ai live modes use deterministic only when provider is not configured; failed configured live calls are marked {provider}_failed without substitute model prose.,backend/llm_config.py; backend/openrouter_client.py; backend/turn_controller.py; backend/tests/test_llm_context.py,Backend unit passed,2026-06-23,python3 -m unittest discover -s backend/tests -v (61 tests OK),"",""
F055,Backend LLM,Prompt context boundaries,As a benchmark owner I want agents and host to receive only allowed context.,"Agent context includes public timeline and own private memory, excludes hidden prior vote targets and outsider private group text; host context can include private material but redacts unrevealed vote details.",backend/llm_context.py; backend/tests/test_llm_context.py,Backend unit passed,2026-06-23,python3 -m unittest discover -s backend/tests -v (61 tests OK),"",""
F056,Backend LLM,Strategic prompt contract,As a benchmark owner I want model output to optimize winning without exposing chain-of-thought.,"Agent prompt asks for win-equity behavior, bans prompt extraction/hidden-state discovery/tampering, requires concise first-person strategic fields, and strips third-person self-attribution.",backend/openrouter_client.py; backend/tests/test_llm_context.py,Backend unit passed,2026-06-23,python3 -m unittest discover -s backend/tests -v (61 tests OK),"",""
F057,Backend LLM,Live action metadata,As an analyst I want live model decisions to carry provider/model and strategy metadata.,"Live events store llm_provider, llm_model_id, strategic_summary, move_type, intended_effect, confidence, win_condition, strategic_score, prompt_profile, and inner_thought.",backend/turn_controller.py; backend/tests/test_turn_controller.py,Backend unit passed,2026-06-23,python3 -m unittest discover -s backend/tests -v (61 tests OK),"",""
F058,Backend LLM,Two-agent reply context,As a viewer I want two-agent live conversations to include a real response from the second model.,Second-agent live replies receive the first model's line in scene context and speaker_line_metadata records response provider/model and respondent linkage.,backend/turn_controller.py; backend/tests/test_turn_controller.py,Backend unit passed,2026-06-23,python3 -m unittest discover -s backend/tests -v (61 tests OK),"",""
F059,Backend LLM,Z.ai OpenAI-compatible provider,As an operator I want Z.ai/GLM to work through the same chat-completions client path.,"When LLM_PROVIDER=zai and ZAI_API_KEY or GLM_API_KEY is set, live_llm_provider returns zai and chat completions post to {ZAI_BASE_URL}/chat/completions with Authorization bearer and unsupported private fields removed.",backend/llm_config.py; backend/openrouter_client.py; backend/tests/test_zai_provider.py,Backend unit passed,2026-06-23,"python3 -m unittest discover -s backend/tests -v (61 tests OK, including Z.ai provider and roster tests)",D001;D003,Backend-only in current UI.
F060,Simulation Flow,Round event order,As a viewer I want the round to unfold in coherent broadcast order.,"A built round includes pre-challenge camp/group strategy, challenge intro, challenge attempts, challenge result, solver spotlight, post-challenge camp strategy, Tribal Conference, vote call, vote booths, vote reveals, elimination, and exit confessional without pre-elimination spoilers.",backend/turn_controller.py; backend/tests/test_turn_controller.py,Backend unit passed,2026-06-23,python3 -m unittest discover -s backend/tests -v (61 tests OK),"",""
F061,Simulation Flow,Challenge and immunity,As a competitor/viewer I want challenges to award immunity from attempts rather than arbitrary state.,"Individual challenge attempts target all active agents; first valid solver wins immunity; challenge result stores winning_agent_id, immunity_agent_ids, response time, and solver explanation.",backend/turn_controller.py; backend/challenge_fixtures.py; backend/tests/test_turn_controller.py,Backend unit passed,2026-06-23,python3 -m unittest discover -s backend/tests -v (61 tests OK),"",""
F062,Simulation Flow,Group strategy and alliances,As a viewer I want social strategy to create inspectable group discussions and alliance records.,"Rounds create bounded participant-only group discussions; accepted participants get speaker lines/transcript context, outsiders do not; accepted groups can create/reinforce alliances and social summaries.",backend/turn_controller.py; backend/database.py; backend/tests/test_turn_controller.py; backend/tests/test_llm_context.py,Backend unit passed,2026-06-23,python3 -m unittest discover -s backend/tests -v (61 tests OK),"",""
F063,Simulation Flow,No pre-challenge result leakage,As a viewer I want pre-challenge camp dialogue not to reference completed challenge outcomes before the challenge happens.,Pre-challenge events are tested to avoid phrases that reveal immunity/challenge result before challenge_intro.,backend/turn_controller.py; backend/tests/test_turn_controller.py,Backend unit passed,2026-06-23,python3 -m unittest discover -s backend/tests -v (61 tests OK),"",""
F064,Simulation Flow,Vote booth payloads,"As an analyst I want votes to expose target, explanation, and UI motive analysis after the vote is cast.","Each vote_booth event has one target_id plus vote_target_id, vote_target_name, vote_explanation, and ui_vote_analysis payload fields; dialogue names the target.",backend/turn_controller.py; backend/tests/test_turn_controller.py,Backend unit passed,2026-06-23,python3 -m unittest discover -s backend/tests -v (61 tests OK),"",""
F065,Simulation Flow,Vote reveal spoiler boundary,As a viewer I want vote reveals not to disclose the eliminated model until the elimination beat.,vote_reveal events do not include eliminated_id; elimination event carries eliminated_id and target linkage when the reveal sequence completes.,backend/turn_controller.py; backend/tests/test_turn_controller.py,Backend unit passed,2026-06-23,python3 -m unittest discover -s backend/tests -v (61 tests OK),"",""
F066,Simulation Flow,Finale and jury winner,"As a viewer I want a complete season to end with finalists, jury votes, and a declared winner.","auto_run_to_end advances rounds until finale, records finale pitches and jury votes, resolves winner by jury votes then deterministic tiebreakers, sets game phase completed, and emits winner_declared.",backend/turn_controller.py; backend/tests/test_turn_controller.py,Backend unit passed,2026-06-23,python3 -m unittest discover -s backend/tests -v (61 tests OK),"",""
F067,Simulation Integrity,Replay reads are read-only,As a frontend client I want reading story events not to advance or mutate game state.,Repeated list_story_events reads return the same events and leave turn_count/story_event_count unchanged.,backend/turn_controller.py; backend/tests/test_turn_controller.py,Backend unit passed,2026-06-23,python3 -m unittest discover -s backend/tests -v (61 tests OK),"",""
F068,Simulation Integrity,First-person visible agent text,"As a viewer I want model-authored visible dialogue to sound like the model speaking, not narration about the model.","Agent-authored visible text avoids third-person templates like '<name> is', '<name> thinks', or '<name> wants' and uses first-person speech.",backend/turn_controller.py; backend/tests/test_turn_controller.py,Backend unit passed,2026-06-23,python3 -m unittest discover -s backend/tests -v (61 tests OK),"",""
F069,Simulation Integrity,Broadcast identity,"As a benchmark viewer I want readable model names, not raw provider ids, in the broadcast surface.",Agent pseudonyms use display names such as Grok 4.3 and Claude Opus 4.8; broadcast dialogue/title/subtitle should not leak raw model ids like x-ai/grok-4.3.,backend/fixtures.py; backend/turn_controller.py; backend/tests/test_turn_controller.py,Backend unit passed,2026-06-23,python3 -m unittest discover -s backend/tests -v (61 tests OK),"",""
F070,Voice,Build episode voice,As an operator I want to generate local voice-line artifacts for the current episode.,POST /api/voice/build-episode builds voice lines for selected round/phase; fake provider works without API key and creates ready lines.,backend/api.py; backend/voice_service.py; backend/tests/test_voice_service.py,Backend unit passed,2026-06-23,python3 -m unittest discover -s backend/tests -v (61 tests OK),"",""
F071,Voice,Voice status,As a frontend or operator I want to inspect voice-line readiness.,GET /api/voice/status reports line status counts and public line data for selected round/phase.,backend/api.py; backend/voice_service.py,Backend unit passed,2026-06-23,python3 -m unittest discover -s backend/tests -v (61 tests OK),"",""
F072,Voice,ElevenLabs key safety,As an operator I want real ElevenLabs calls to fail closed without leaking secrets.,VOICE_PROVIDER=elevenlabs requires ELEVENLABS_API_KEY in backend env; errors redact pasted key-shaped strings and do not expose voice_id/API key in public payloads.,backend/voice_config.py; backend/voice_service.py; backend/tests/test_voice_service.py,Backend unit passed,2026-06-23,python3 -m unittest discover -s backend/tests -v (61 tests OK),"",""
F073,Voice,Non-overlapping voice timeline,As a viewer I want spoken lines to play sequentially without overlapping.,"Voice timelines start with host when applicable, never overlap, and ordinary line gaps are bounded at 900ms in tests.",backend/voice_service.py; backend/tests/test_voice_service.py,Backend unit passed,2026-06-23,python3 -m unittest discover -s backend/tests -v (61 tests OK),"",""
F074,Voice,Voice media serving,As a browser client I want generated local audio to be fetchable from the backend.,FastAPI mounts /media/voice to MEDIA_ROOT and EpisodePlayer resolves voice audio_url through mediaUrl.,backend/api.py; backend/voice_service.py; frontend/src/components/broadcast/EpisodePlayer.tsx,API passed,2026-06-23,Fake voice build produced 59 ready lines; GET first /media/voice/...wav returned 200 audio/x-wav and RIFF WAV bytes; mediaUrl relative probe resolved through http://localhost:8000,"",""
F080,Arena API,Room listing and detail,As an arena user I want to see available paid-beta rooms and room details.,"GET /api/arena/rooms returns rooms; GET /api/arena/rooms/{room_id} returns room summary with entries, economics, counts, can_start, and CPU fill data.",backend/api.py; backend/arena.py,Browser passed,2026-06-23,"Browser Arena loaded open room, metrics, empty CPU preview, and initial disabled/enabled action states","",""
F081,Arena API,Lock human entry,"As a human entrant I want to lock a character with wallet, model, avatar seed, and soul.md.","POST /api/arena/rooms/{room_id}/entry creates a locked human entry, fake-settled payment, derived archetype, soul hash, payout address fallback, and returns the updated room.",backend/api.py; backend/arena.py,Browser passed,2026-06-23,Browser Lock Demo Human created Human Prime entry and enabled Vote Start,"",""
F082,Arena API,Start vote,As a locked human I want to vote that the room can start.,POST /api/arena/rooms/{room_id}/start-vote records a start vote for the normalized wallet and returns the updated room; CPU entries never vote.,backend/api.py; backend/arena.py,Browser passed,2026-06-23,Browser Vote Start recorded 1/1 start vote and enabled Fill CPU + Start,"",""
F083,Arena API,CPU fill and start rule,"As a room owner I want rooms to start once all locked humans vote, with CPU players filling empty seats.","start_room requires at least one locked human and all locked humans to vote, fills CPU entries to max seats, marks the season running, and seeds broadcast events.",backend/api.py; backend/arena.py; backend/tests/test_arena.py,Fixed and browser passed,2026-06-23,Browser Fill CPU + Start created 16 seats and disabled itself once room status became running,D007,Fixed Fill CPU + Start remaining enabled after room left open state.
F084,Arena API,Season manifest,As a spectator/operator I want a committed season manifest after start.,"GET /api/arena/seasons/{season_id}/manifest returns season, entries, broadcast_events, payouts, refunds, and economics for a started season.",backend/api.py; backend/arena.py,Browser passed,2026-06-23,Browser started arena showed committed manifest with 1 human plus 15 CPU entries,"",""
F085,Arena API,Broadcast events feed,As a spectator I want incremental arena broadcast events.,GET /api/arena/seasons/{season_id}/broadcast-events returns broadcast events from from_sequence onward.,backend/api.py; backend/arena.py,Browser passed,2026-06-23,"Browser arena broadcast panel showed Cast Reveal, Match Locked, Broadcast Ready, and winner event after resolve","",""
